"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30143","test3","firefox","2026-03-12","broken","2026-03-12","","practicetestautomation.spec.js","",""
"","6159","login with valid credentials for vinayksgowda123@gmail.com","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","853","login with valid credentials for test@example.com","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","6924","test","chromium","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","7555","login with valid credentials for test@example.com","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5429","test3","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","44090","test2","firefox","2026-03-12","broken","2026-03-12","","practicetestautomation.spec.js","",""
"","1","testing amazon page","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","31381","test7","firefox","2026-03-12","broken","2026-03-12","","uitest.spec.js","",""
"","7126","test","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","8000","test","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","48481","test","firefox","2026-03-12","broken","2026-03-12","","practicetestautomation.spec.js","",""
"","5100","get started link","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","849","login with valid credentials for vinayksgowda123@gmail.com","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3406","test8","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3231","test5","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","8813","get started link","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3085","test9","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","8873","test3","chromium","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","4621","test","webkit","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","6998","test3","webkit","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","37164","test4","firefox","2026-03-12","broken","2026-03-12","","uitest.spec.js","",""
"","0","testing amazon page","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","3874","test6","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2660","has title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3644","login with valid credentials for vinayksgowda123@gmail.com","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5431","test6","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","25696","test9","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2707","test8","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","4878","test5","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","8315","test6","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3460","test9","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","4896","test5","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","4766","test","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3160","login with valid credentials for test@example.com","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","16601","test4","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","6291","test2","webkit","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","3802","test2","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","30832","test8","firefox","2026-03-12","broken","2026-03-12","","uitest.spec.js","",""
"","7440","test3","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1660","login page","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","4489","test2","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3951","test3","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2368","test7","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","835","login with valid credentials for user@example.com","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","4935","has title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3279","test7","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3661","get started link","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","15446","test4","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","8625","test2","chromium","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","6488","has title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3662","login with valid credentials for user@example.com","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","7","testing amazon page","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","7644","login with valid credentials for user@example.com","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2400","login page","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5984","test2","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","333","login page","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
