"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","613","test8","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","558","test6","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","797","get started link","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","604","test8","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","370","test2","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1093","login with valid credentials for user@example.com","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1096","login with valid credentials for vinayksgowda123@gmail.com","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1","testing amazon page","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","0","testing amazon page","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","1988","login with valid credentials for test@example.com","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2386","test","webkit","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","0","testing amazon page","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","1009","test","firefox","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","872","test","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1136","test5","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1095","login page","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","580","test7","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","558","test5","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","272","test8","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3019","test3","webkit","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","236","login page","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","604","test3","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1174","test6","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","393","test7","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1459","test2","chromium","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","2383","test3","firefox","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","2033","login with valid credentials for vinayksgowda123@gmail.com","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1463","test3","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","11581","test4","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","237","login with valid credentials for vinayksgowda123@gmail.com","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","997","test","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1605","test3","chromium","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","1537","test9","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1967","login with valid credentials for user@example.com","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","651","test9","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1206","has title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","936","test6","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3606","test2","webkit","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","456","get started link","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","856","test","chromium","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","789","has title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","245","login with valid credentials for user@example.com","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","10999","test4","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1971","login page","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","804","test2","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2507","get started link","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","939","test2","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","750","test7","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1088","test9","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1091","login with valid credentials for test@example.com","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","405","has title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","13196","test4","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2513","test2","firefox","2026-03-12","passed","2026-03-12","","practicetestautomation.spec.js","",""
"","243","login with valid credentials for test@example.com","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","1216","test3","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","1364","test5","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","580","test","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
